id,name,checkins,overall_star_rating,rating_count,engagement_count,price_range,payment_options_amex,payment_options_cash_only,payment_options_discover,payment_options_mastercard,payment_options_visa,restaurant_services_delivery,restaurant_services_catering,restaurant_services_groups,restaurant_services_kids,restaurant_services_outdoor,restaurant_services_reserve,restaurant_services_takeout,restaurant_services_waiter,restaurant_services_walkins,parking_lot,parking_street,parking_valet
1734677133430930,"Weekend Dreams Burgers & Grill",1205,4.9,158,1960,$,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,0,0
10150570867038762,"Willie's Burgers",11793,4.3,465,5123,$,0,1,0,0,1,0,0,1,1,1,0,1,0,1,1,1,0
725678934249184,"Pigalle Steak & Premium Burgers",14044,4.5,231,6332,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,1,1,0
1715846965150053,"Red Robin Gourmet Burgers",13276,4.3,451,694,$$$,0,0,0,1,1,0,0,1,0,0,0,0,0,1,1,0,0
10150339475829009,"Bemdito Steaks & Burgers",58763,4.2,2069,23443,$$,1,1,0,1,1,0,0,1,0,1,1,1,1,1,0,1,0
198409296862056,"Freds Burgers",20877,4.5,814,5220,$,0,0,1,1,1,0,0,0,1,0,0,1,0,1,1,1,0
311905269158759,"Krafty's Burgers & Brews - Garner",6271,4.7,164,1087,$$,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,0,0
10150161555973803,"Good Ol' Burgers",6461,4.3,327,3598,$,1,0,1,1,1,0,1,1,1,0,0,1,0,1,1,1,0
1774617892580294,"Flipdaddy's Burgers & Beers",24987,4.3,288,13352,$$,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0
462907720393739,"D's Giant Burgers",1037,4.7,102,540,$$,1,0,1,1,1,0,0,0,0,0,0,1,1,1,0,1,0
647221555406248,"Downtown Burgers",1565,4.8,326,11702,$,1,1,1,1,1,0,0,0,1,1,0,1,0,1,0,1,0
125577510852621,"B-52 Burgers & Brew",29613,4.3,808,10817,$,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,0
10151805095508584,"Monster Burgers",4855,4.6,405,22608,$$,0,1,0,1,1,0,0,1,1,1,0,1,0,1,0,1,0
386817741371565,"Big Lous Burgers and BBQ",21531,4.1,410,20532,$,1,0,1,1,1,0,0,1,1,1,0,1,1,1,1,0,0
305452053317860,Burgerspace,273,4.8,78,2194,$$,0,1,0,1,1,1,0,1,1,0,0,1,1,0,1,0,0
218646784814490,"Val's Burgers",26033,4.7,1046,6415,$$,0,1,0,0,0,0,0,1,1,0,0,1,1,1,1,1,0
1543281419311200,"Xzinho Burgers - Navegantes",14660,4.8,484,7492,$$,0,1,0,1,1,0,0,1,1,1,0,0,1,0,0,1,0
696969200398950,"Chester Burgers",2923,4.6,304,31505,$$,1,1,0,1,1,0,0,0,0,1,1,1,0,0,0,0,0
181782095208037,"Jukebox Burgers",22903,4.3,672,8403,$$,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,0,0
1593911567296054,"Wayback Burgers",3741,4.6,218,10376,$$,1,1,1,1,1,0,0,1,1,0,0,1,0,1,0,0,0
211924318831855,"Main Street Burgers",8082,4.2,268,8079,$,0,0,0,1,1,0,1,0,1,1,0,1,0,1,1,1,1
189280857756112,"Roam Artisan Burgers",16164,4.6,399,3452,$,1,0,1,1,1,0,1,1,1,1,0,1,0,1,0,1,0
197960517385619,"Jamuy Wings & Burgers",808,4.5,165,11631,$$,0,1,0,0,0,0,0,0,0,1,1,1,0,1,0,1,0
302462039770925,Frankys,11051,4.4,334,8226,$$,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
1759434387449387,"Red Robin Gourmet Burgers",16678,4.3,440,1036,$,1,0,1,1,1,0,0,1,1,1,0,1,1,1,1,0,0
1308108949309903,"Biggen's Burgers & Barbie-Q",408,4.9,347,6095,$,1,1,1,1,1,0,1,1,1,0,0,1,0,1,1,0,0
873813976038015,"400 Degrees Gourmet Burgers & Fries",4707,4.3,11,699,$$,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,0
1723039597946824,"Eat Burgers",11070,0,0,41458,$,0,1,0,1,1,0,0,0,0,1,0,0,0,1,0,1,0
10150230270086628,"Hodad's Ocean Beach",173602,4.7,8812,40482,$,0,0,0,1,1,0,0,0,1,0,0,1,0,1,0,1,0
1884049911823570,"Sylvester's Burgers-Atascadero",1632,4.8,58,531,$$,0,1,1,1,1,0,0,1,1,1,0,1,0,1,0,1,0
512226835479387,"A&B Burgers",14165,4.3,597,9481,$$,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
128774833863462,"Grease Monkey Burgers",46775,4.5,920,7578,$$,1,0,1,1,1,0,1,1,0,1,0,1,1,1,1,0,0
423558424341878,"Burgess Brothers' Barbeque & Burgers",2932,4.4,309,6452,$$,1,1,0,1,1,1,1,1,1,1,0,1,0,1,1,1,0
1064825183613997,"Mona's Burgers & Shakes",753,4.5,35,556,$,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0
10156427462984880,"Red Robin Gourmet Burgers",18461,4.2,529,3112,$,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0
179504012101667,"Jimmy Hula's, Fish Tacos, Burgers and Beer",17406,4.4,575,11948,$,0,0,0,1,1,0,0,1,1,1,0,1,0,1,1,0,0
136216169781501,"Triple XXX Burgers",22776,4.2,379,12660,$$,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
625115674243245,OBurgers,5605,0,0,12734,$$,1,1,1,1,1,0,1,1,0,1,1,1,0,0,0,0,0
667129799985627,"B&D Burgers",39762,4.3,1413,9863,$,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0
1081423505282740,"Caius Burgers Grill",9651,4.8,513,17202,$,1,1,0,1,1,1,0,1,1,1,1,1,1,1,0,1,0
1925428094193801,"Red Robin Gourmet Burgers",17277,4.2,432,1042,0,1,0,1,1,1,0,0,1,0,1,0,1,1,0,1,0,0
490865571071629,"Burger's House",2216,0,0,11603,$$,0,1,0,1,1,0,0,1,1,1,0,1,0,1,0,1,0
253928764806096,"Chelsea Burgers & Shakes",2384,0,0,7273,$$,1,1,0,1,1,0,0,1,1,0,1,0,1,1,0,1,0
1486862151360587,"Kustom Burgers",3326,4.9,182,2350,$$,1,1,0,1,1,0,0,0,1,0,1,0,1,0,1,0,0
194397140724231,"Millie's Burgers Steaks & Shakes",215,3.9,53,7870,$,1,0,1,1,1,1,1,0,1,0,0,1,0,1,0,1,0
467348593800,"Jack's Prime Burgers & Shakes",12151,4.5,355,2190,$$,1,0,0,1,1,0,1,1,1,1,0,1,1,1,1,1,0
153589258689504,"Woodstock Burgers, Drinks & Good Music",27,4.5,65,4190,$$,0,1,0,1,1,0,0,1,0,1,1,1,1,0,0,1,0
1541350672849043,"BaBang Burgers, drinks & beats",269,4.6,94,15169,$,1,1,1,1,1,0,1,1,0,1,1,1,1,1,0,0,0
295517937622741,"CV Burgers SPS",286,4.9,69,4519,$$,1,1,0,1,1,0,0,1,0,1,1,1,1,0,1,0,0
135898226486036,"Honest Burgers",12828,4.6,716,22511,$,1,1,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0
194755920568198,"Espiau's Restaurant; Mexican, American, Burgers & Bar",31431,4.3,613,2774,$$,1,0,0,1,1,0,0,1,1,1,1,1,1,1,0,1,0
160539390689361,"Beverly Burgers",2133,3.6,532,17931,$,0,0,0,1,1,1,1,0,0,1,0,1,0,1,0,1,0
272831206078511,"Apollo Restaurant",15274,4.7,1531,35598,$,0,0,1,1,1,0,0,0,0,0,0,1,0,1,1,0,0
337982949589007,"The Buck Burgers & Brew",34780,4.4,833,8637,$$,1,0,1,1,1,0,0,1,1,0,0,1,1,1,1,1,0
10156427462984880,"Red Robin Gourmet Burgers",18461,4.2,529,3112,$,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0
149694121759188,"Monroe's Burgers & Beers",3333,4.8,363,10009,$,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,0
111926499526242,"Ridiculous Burgers",869,4.9,1326,8597,$$,1,1,1,1,1,1,1,1,0,0,1,1,1,1,0,1,0
625115674243245,OBurgers,5605,0,0,12749,$$,1,1,1,1,1,0,1,1,0,1,1,1,0,0,0,0,0
272831206078511,"Apollo Restaurant",15274,4.7,1531,35597,$,0,0,1,1,1,0,0,0,0,0,0,1,0,1,1,0,0
1308108949309903,"Biggen's Burgers & Barbie-Q",408,4.9,347,6096,$,1,1,1,1,1,0,1,1,1,0,0,1,0,1,1,0,0
463693627095210,"Blues & Burgers Choperia",16892,4.8,215,3509,$,0,1,0,1,1,1,0,1,1,1,1,0,1,1,0,1,0
1081423505282740,"Caius Burgers Grill",9651,4.8,513,17204,$,1,1,0,1,1,1,0,1,1,1,1,1,1,1,0,1,0
173162163054363,"B Square Burgers & Booze",10799,4.6,283,1619,$$,1,1,1,1,1,0,0,1,1,1,1,0,1,1,0,1,0
130928310416396,"JUICY LUCY Prime Burgers",19209,0,0,87771,$,1,1,0,1,1,0,0,1,1,1,1,1,1,1,0,1,1
1563009837292397,"Matteo Special Burgers",5174,4.8,511,19687,$,0,1,0,1,1,1,0,1,1,1,0,1,1,1,1,1,0
594887477359390,"Hand Cut Burgers & Chophouse",10785,0,0,1932,$$,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1
10150609533980510,"Rock and Burger!",21685,0,0,43065,$$,0,0,0,1,1,0,0,1,0,1,0,1,0,0,0,0,0
502473049888875,Broxton,19757,4.3,432,41373,$$,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0
1231127573601625,"The Burgers Dourados",1207,4.7,49,6004,$$,0,1,0,1,1,1,0,1,1,0,0,1,1,1,0,1,0
1501346970156961,"TITAN Burger",1026,4.7,134,16106,$,0,1,1,0,0,0,0,0,0,1,0,1,1,1,0,1,1
1774617892580294,"Flipdaddy's Burgers & Beers",24987,4.3,288,13352,$$,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0
647221555406248,"Downtown Burgers",1565,4.8,326,11702,$,1,1,1,1,1,0,0,0,1,1,0,1,0,1,0,1,0
209963242369152,"Gyros, Burgers & More",1155,4.3,30,183,$,1,0,1,1,1,0,1,1,1,1,1,1,0,1,0,0,0
184894691912298,"Notorious Burgers",1128,0,0,11082,$,0,1,0,1,1,1,0,0,1,1,1,1,0,1,1,1,0
961177507261846,"Jack Burger's",1623,4.8,375,16072,$$,0,1,0,1,1,0,0,1,0,1,1,1,0,1,0,1,0
307106372831170,"Brixton Burgers",5474,0,0,15056,$,0,1,0,0,0,0,0,1,1,1,1,1,0,1,0,1,0
2036222406642866,"Hells Bar N Burgers",23167,4.8,1398,85633,$$,0,1,0,1,1,0,0,1,1,0,0,0,0,0,0,1,0
516662475121601,"Ranch House Burgers II-Mission, TX",29622,4.7,563,15057,$$,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0
673658909380875,"FireFly Burger",28367,4.2,577,137303,$,0,1,0,0,0,1,0,1,1,1,0,1,0,1,1,1,0
701543076532147,"Johnny's Burgers",11437,4.2,601,19320,$$,0,1,0,1,1,0,1,1,1,0,1,1,0,1,1,0,0
809802665800557,"Micks Monster Burgers",12837,4.8,274,4765,$,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
1645776218852118,"Krozty Burger",92,0,0,34964,$,1,1,0,1,1,0,0,1,1,1,1,1,0,1,1,1,0
1500517516877574,"Goody Goody Burgers",23203,4.4,880,13665,$,1,1,1,1,1,0,0,0,1,1,0,1,1,1,1,1,0
337982949589007,"The Buck Burgers & Brew",34780,4.4,833,8637,$$,1,0,1,1,1,0,0,1,1,0,0,1,1,1,1,1,0
430621787050622,"Burger King Cambodia",28277,4.3,488,137130,$$,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0
1431753340423483,"Burgers and Beers Grillhouse",13797,4.5,336,7202,$$,1,1,0,1,1,0,0,1,1,1,1,0,1,1,0,0,0
10150179135534868,"Mojo's Wings Burgers Beer",33805,4.1,833,10241,$$,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0
1545837855725007,"Bastard Pizzas, Burgers N' Shakes",1071,4.4,111,9904,$$,1,1,0,1,1,0,0,1,1,1,1,1,1,1,0,1,1
135898226486036,"Honest Burgers",12828,4.6,716,22511,$,1,1,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0
2005717736366080,"Papa Burgers",139,4.7,27,1965,$$,0,1,0,0,0,1,0,1,1,0,0,1,1,1,1,0,0
161759054512147,"ZAR Burgers & Beer",1392,4.5,23,6864,$$$,0,1,0,0,0,0,0,1,0,1,0,1,1,1,0,1,0
1593911567296054,"Wayback Burgers",3741,4.6,218,10378,$$,1,1,1,1,1,0,0,1,1,0,0,1,0,1,0,0,0
10154621130314106,"Burger King Philippines",2240,3.3,645,795980,$,1,1,0,1,1,1,0,1,1,1,1,1,0,1,1,1,0
1742819472607384,"Twins Pizza & Burgers",943,4.3,102,16299,$$,0,1,0,0,0,0,0,1,1,1,1,1,0,1,1,1,0
1242651385755804,"Varda Grill Burgers and Hotdogs",229,4.4,62,6158,$,0,1,0,0,0,1,1,1,1,1,1,1,0,1,1,0,0
652070041482920,"HEY HO Garage Burgers",16589,4.8,395,21473,$,0,1,0,0,0,0,0,1,1,1,0,1,0,1,0,1,0
339261762914619,"La Choza Burgers & More Belisario",1988,0,0,21875,$$$,1,1,0,1,1,1,0,0,0,0,1,1,1,1,0,1,0
435414576567481,Eureka,10076,4.3,173,990,$$,1,1,1,1,1,0,0,1,1,0,0,1,1,1,1,1,0
605567742987175,"HID Burgers Marcos Highway",1189,0,0,6047,0,0,1,0,0,0,1,0,1,1,1,1,1,0,1,1,0,0
1117091695067335,"Gotham Burgers",7545,4.4,81,5654,$$,0,1,0,0,0,1,0,1,1,1,1,1,1,1,0,1,0
991740797536746,"GOODFELLAS STEAKS & BURGERS",1769,0,0,22618,$$$,0,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,0
1830785123815558,"San's Burgers",5169,0,0,193,$$,0,1,0,1,1,1,0,1,1,0,0,1,0,0,1,0,0
10150224883727053,"TAYLOR MADE BURGERS",3307,0,0,91803,$,0,1,0,0,0,1,0,1,1,0,0,1,0,1,1,1,0
2500420510182629,"Oi Polloi - Burgers & Cocktails",95,5,19,1201,$,0,1,0,1,1,0,0,1,1,0,1,1,1,1,0,1,0
1159637707444832,"Arsenal Burgers & Beers",1778,4.6,187,10251,$$,1,1,0,1,1,0,0,1,0,1,1,1,1,0,1,1,0
411334882303911,"8Cuts Burgers",17118,4.3,363,80702,$$,1,1,0,1,1,0,0,1,1,0,0,1,0,1,0,0,0
1082783091776958,"Lisa - Burgers & Drinks",1522,0,0,14299,$$,0,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,0
1901233033430824,"Bun's Burgers",195,4.5,183,7420,$$,0,1,0,1,1,0,1,1,0,0,0,1,1,0,0,1,0
869358516547021,"Coruja Burgers",170,4.8,36,3312,$,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0
1824079997859158,"Los Carboneros - Burgers & Tacos",352,4.1,79,12487,$$,0,1,0,0,0,0,0,1,1,1,0,1,1,1,1,1,0
197960517385619,"Jamuy Wings & Burgers",808,4.5,165,11633,$$,0,1,0,0,0,0,0,0,0,1,1,1,0,1,0,1,0
528184210556373,"Pringles King Burgers",8533,4.6,102,11676,$,0,1,0,0,0,0,0,1,1,1,0,1,1,1,1,1,0
282644911859322,"Boom Burgers",3459,0,0,17531,$$,1,0,0,1,1,1,1,1,1,0,1,1,1,1,0,1,0
157973237890496,"70's BURGERS",79,4.8,86,11879,$$,0,1,0,0,0,1,0,1,0,1,0,1,0,0,0,1,0
630776960293520,"Ruta 86",1424,0,0,16216,$$,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0
1564523597160588,"El Toro",7668,4.8,419,17501,$$$,0,1,0,1,1,1,0,0,1,1,0,1,0,1,0,1,0
250913561727000,"In Casa Top Fine Burgerâ€™s",2845,0,0,15787,$$,0,1,0,1,1,1,0,1,1,0,1,1,1,1,0,1,0
119550951458838,"Cuarto de Kilo Gira-Grill Burgers",25712,0,0,99220,$$,0,1,0,1,1,1,0,0,0,0,0,1,0,1,0,0,0
1276134245804347,"ArmyNavy Burger + Burrito Philippines",4077,0,0,296033,$$,1,1,0,1,1,1,1,1,1,1,1,1,0,1,0,0,0
1898006083781554,"Pattys & Buns Burgers",59,3.8,8,73,$,1,1,1,1,1,0,0,1,1,1,0,1,0,1,1,1,0
1467491683340838,"Backyard Burgers Davao",21823,4.3,846,51864,$$,0,1,0,0,0,1,1,1,1,1,1,1,0,1,1,1,0
520247158142625,"Rock Tavern Puerto Rico",8094,0,0,13285,$,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,0
176303399134055,"Squeeze Inn Tracy",12107,4.5,476,2523,$,1,0,1,1,1,0,0,0,1,0,0,1,1,1,1,0,0
444924822625214,"Æ  Bistro - Steak Burger & Guabao",331,5,25,11008,0,0,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1
510615962371307,"IYO Burgers",3279,4.3,203,31969,$$,0,1,0,1,1,0,1,1,1,0,1,1,1,1,0,0,0
467684513600449,"Clash of Burgers San Miguel Branch",626,4.9,36,2983,$,0,1,0,0,0,0,0,1,1,0,1,1,1,1,1,1,0
165199587405729,"Bluey's Smokehouse - Burgers & BBQ",312,5,37,2506,$,0,1,0,1,1,0,1,0,1,0,1,0,0,1,1,0,0
1382465835321220,"Burger King Pakistan",26841,0,0,690347,0,0,1,0,1,1,1,1,1,1,1,0,1,0,1,0,0,0
1253408238014213,"Highlander Wings & Burgers",2283,4.9,278,6338,$$,1,1,1,1,1,0,0,1,0,1,1,0,1,1,1,1,0
374230646389947,Eto,60,4.9,39,7635,0,0,1,0,0,0,1,0,1,1,0,1,1,0,1,1,0,0
225980357427074,"Na Villa Panquecas e Burgers",3844,4.7,248,11203,$,0,1,0,1,1,1,0,1,0,1,1,1,1,1,1,1,0
786057131485672,"Urban Station Burgers & More",1054,4,104,25080,$,0,1,0,1,1,1,0,1,0,0,1,1,0,1,0,0,1
169920523152419,"Coffee Sides Burgers & Cheesecakes Spot",3717,4.8,446,20284,$$,0,1,1,1,1,0,1,0,0,0,1,1,1,0,0,1,0
232614634143346,"FamÃ­lia Bordeli TaÃ§as e Burgers - Unidade ItanhaÃ©m",227,4.8,16,2298,$,1,1,1,1,1,0,0,1,1,0,1,0,1,1,1,0,0
1956288741283742,"Flipp Burgers & Wings",2610,4.8,123,7809,$,0,1,0,0,0,0,0,1,1,1,0,1,0,1,1,1,0
250641088663800,"Daddy's Burger",4804,0,0,156265,$$,1,1,0,1,1,1,1,0,1,0,0,1,1,0,0,1,0
184142768808296,"Les Francs Burgers",256,4.6,134,2661,0,0,1,0,1,1,0,1,1,1,0,1,1,1,1,0,0,0
123733291551245,"Rocka BURGERS",826,4.7,239,6646,$$,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0
1596476767309427,"Bricks - Burgers & More",102,4.7,63,15475,$,0,1,0,1,1,1,1,0,0,1,1,1,1,1,1,1,0
166918067050644,"Travel Burger Cafe",3197,0,0,96198,0,0,1,0,0,0,0,0,1,1,0,1,1,0,1,1,1,0
1806475556281775,"AD24 Burgers",304,4.8,261,26899,$$,0,1,0,1,1,1,0,1,0,0,0,1,0,1,0,1,0
448655935337184,"Big Bellys Burgers",11368,4.4,921,89867,$,1,1,1,1,1,0,1,1,1,0,0,1,0,1,1,0,0
1129612807050836,"Puok Burger Store",20441,4.8,5154,229774,$$,0,1,0,1,1,0,0,0,0,0,0,1,0,0,1,1,0
898907083479539,"Grill Out - Bacoor, Cavite",1995,4.8,83,12418,$,0,1,0,0,0,0,0,1,1,0,1,1,1,1,1,1,0
478001112390790,"Damn Good Burgers",726,4.7,112,7882,$,0,1,0,0,0,1,0,1,0,1,1,1,0,1,1,0,0
319144498418315,"Foodbook Burgers",679,0,0,61299,$,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,1,0
205853183107794,"Mega Burgers Vosloorus",231,4.5,44,12376,0,0,1,0,0,0,0,1,1,1,1,0,1,0,1,0,1,0
10151507574409681,"BUFFALO BURGER",13199,4.2,4860,920463,$$,0,1,0,0,1,1,1,1,0,0,0,1,0,1,1,1,0
206174579407482,"Hudsons - The Burger Joint",12125,0,0,19027,$$,1,1,0,1,1,0,0,1,1,1,1,1,1,1,1,1,0
488339268043798,"Clash of Burgers Kapasigan Branch",15046,0,0,40147,$$,0,1,0,0,0,0,0,1,1,1,0,1,1,1,0,1,0
1803655539850202,"Burgers & Sliders Shop",194,4.4,254,20381,$,1,1,0,1,1,1,0,1,0,0,1,1,0,1,1,1,1
1444315442565919,"Burger's Bar Wien",3432,4.5,608,29194,$$,1,1,0,1,1,0,1,1,1,1,1,1,1,1,0,1,0
1523586277907454,"AGA Burger",9258,4.8,193,11964,$,0,1,0,0,0,1,1,1,1,0,1,1,0,1,0,1,0
251025542009304,"Wayback Burgers Malaysia",644,0,0,3847,$,0,1,0,1,1,0,0,1,1,0,0,1,0,1,1,0,0
568141220188571,"OopS Burger & Dessert - à¸ªà¸²à¸‚à¸²à¸¡à¸«à¸²à¸§à¸´à¸—à¸¢à¸²à¸¥à¸±à¸¢à¸™à¹€à¸£à¸¨à¸§à¸£ à¸žà¸´à¸©à¸“à¸¸à¹‚à¸¥à¸",376,5,2,20367,$,0,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,0
1457771684522656,"Pizza Boss & Boss Burgers",433,4.7,223,14729,$$,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0
1596304243740240,"Amigoâ€™s Burgers",161,4.7,72,3159,$$,0,1,0,1,1,1,0,1,1,0,1,1,1,1,1,0,0
1069470196419049,"Urban Gourmet Burgers",2405,4.1,252,73503,$$,0,1,0,1,1,1,0,1,1,1,1,1,1,1,1,0,0
205946559830495,"GuimÃ©me's Grill Burgers - Hamburgueria",3713,4.8,189,6053,$,0,1,0,1,1,0,0,1,0,1,1,1,0,1,0,1,0
1608387746106490,"Ahn's Burger",132,4.7,7,7,$,0,1,0,1,1,0,1,1,1,0,0,1,0,1,1,1,0
188768041288132,"George's Giant Hamburger",644,4.6,63,565,$,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0
335989409861442,"Sam's Fried Chicken & Burgers",37865,4,701,50242,0,0,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,0
117391215281016,"Chris Steaks & Burgers",4558,4.6,217,34785,$$,0,1,0,0,1,1,0,1,1,0,1,1,0,1,0,1,0
10151684750204316,"Wolfes Diner & Burgers",31197,0,0,8509,$$,0,0,0,1,1,0,0,1,1,0,0,1,1,1,1,0,0
720809554753582,"Black Tap Craft Burgers & Shakes Dubai",12953,4.6,403,33540,$$,1,1,0,1,1,0,0,1,0,1,0,1,1,1,1,0,1
426128654150651,"Gibson's Gourmet Burgers & Ribs",14541,4.2,303,10509,$$,1,0,1,1,1,0,0,1,1,0,0,1,1,1,1,0,0
10153508401080154,"Hot waves burgers",1011,4.2,469,134781,$,0,1,0,0,0,1,1,1,1,1,0,1,1,1,1,1,0
176125979518657,"Burger Zaken Oudezijds Voorburgwal",2524,4.6,28,4439,$,0,1,0,1,1,0,1,1,1,1,0,1,1,1,0,1,0
1672628963066492,"BAZ Bistro&burgers Constanta",3555,4.7,386,6572,$,1,1,0,1,1,0,0,1,1,0,1,1,1,0,0,1,0
784883288219090,"Ministry oF Burgers",3989,0,0,48511,$$$,0,1,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0
119763484773593,"Three Brothers Burgers",20785,4.6,507,3058,$,0,0,0,1,1,1,0,1,1,1,1,1,1,1,0,1,0
1542751899280594,"Wright Burgers & Cafe",5156,4.5,241,64936,$,0,1,0,1,1,1,0,1,1,0,1,1,1,1,1,0,0
203344370237528,"HOB - House of Burgers",1,0,0,14432,0,0,1,0,0,0,1,0,1,1,0,0,1,0,1,1,0,0
472872089449000,"KGB - Killer Gourmet Burgers",3986,0,0,46595,$$,0,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,0
510293315699366,"Heroes Burgers & wings",1893,4.3,628,55468,$$$,0,1,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0
